Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB,Year,Level,Org
David Moraga*,22,19,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,,1,1998,AA,WSN
Francisco Morales,25,96,348,311,25,67,11,1,9,45,1,1,30,86,.215,.293,.344,.637,107,12,5,0,2,4,,0,1998,AA,WSN
Ruben Niebla*,26,24,5,3,0,0,0,0,0,0,0,0,1,1,.000,.250,.000,.250,0,0,0,1,0,0,,0,1998,AA,WSN
Nick Ortiz,24,56,192,163,18,44,11,2,6,24,2,3,18,37,.270,.346,.472,.818,77,7,2,7,2,0,,0,1998,AA,WSN
Christian Parker,22,36,14,12,1,3,1,0,1,3,0,0,1,3,.250,.308,.583,.891,7,0,0,1,0,0,,1,1998,AA,WSN
Tommy Phelps*,24,12,10,10,0,2,0,0,0,2,0,0,0,4,.200,.200,.200,.400,2,0,0,0,0,0,,1,1998,AA,WSN
Simon Pond*,21,2,4,3,0,0,0,0,0,0,0,0,1,1,.000,.250,.000,.250,0,0,0,0,0,0,,1,1998,AA,WSN
Dave Post,24,19,66,58,9,20,3,1,1,9,1,1,7,3,.345,.424,.483,.907,28,0,1,0,0,0,,0,1998,AA,WSN
Jeremy Powell,22,22,21,18,1,2,1,0,1,1,0,0,1,9,.111,.158,.333,.491,6,0,0,2,0,0,,1,1998,AA,WSN
Scott Samuels*,27,20,66,58,9,16,3,0,4,11,4,1,7,13,.276,.364,.534,.898,31,1,1,0,0,0,,0,1998,AA,WSN
Chris Schwab*,23,3,5,4,0,0,0,0,0,0,0,0,1,3,.000,.200,.000,.200,0,0,0,0,0,0,,0,1998,AA,WSN
Fernando Seguignol#,23,80,317,281,54,81,13,0,25,69,6,1,29,77,.288,.366,.601,.967,169,6,6,0,1,4,,1,1998,AA,WSN
J.D. Smart,24,14,12,11,0,1,0,0,0,1,0,0,1,0,.091,.167,.091,.258,1,0,0,0,0,0,,1,1998,AA,WSN
Rod Stevenson,24,37,2,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,1,0,0,,0,1998,AA,WSN
Chris Stowers*,23,134,566,510,86,137,31,5,17,66,24,7,42,109,.269,.332,.449,.781,229,7,8,3,3,2,,1,1998,AA,WSN
Andy Tracy*,24,62,242,211,33,48,12,3,10,33,1,2,24,62,.227,.314,.455,.769,96,5,4,0,3,3,,1,1998,AA,WSN
Jon Tucker*,21,25,98,79,13,22,7,0,3,16,0,0,18,18,.278,.412,.481,.893,38,1,0,1,0,0,,0,1998,AA,WSN
Trovin Valdez#,24,54,130,121,16,31,8,1,2,10,14,2,6,21,.256,.291,.388,.680,47,3,0,3,0,0,,0,1998,AA,WSN
